Source: https://sites.google.com/site/wheeloffortunepuzzlecompendium/home/compendium/season-32-compendium
NUMBER OF PUZZLES:1648
CATEGORY|PUZZLE
What Are You Doing?|SHOWING OFF MY FAVORITE HAWAIIAN SHIRT
In the Kitchen|PRESSURE COOKER
Things|HARD WORK AND DEDICATION
Character|THE INVISIBLE MAN
Thing|WEDDING BOUQUET
Thing|GREEN TRAFFIC LIGHT
Proper Name|DUSTIN HOFFMAN
TV Title|SATURDAY NIGHT LIVE
Before & After|HE WHO HESITATES IS LOST IN SPACE
Phrase|NESTLED ON A PRIVATE PENINSULA
Occupation|CATTLE RANCHER
Food & Drink|RASPBERRY PRESERVES
Event|EXCHANGE OF VOWS
Title|GULLIVER'S TRAVELS
Thing|BABY GRAND PIANO
Before & After|LABOR OF LOVE LETTERS
Food & Drink|MARYLAND SOFT-SHELL CRABS
Phrase|HERE TODAY GONE TO MAUI
What Are You Doing?|BATTING A THOUSAND
Rhyme Time|WINKING AND BLINKING
Song Lyrics|ROCK AROUND THE CLOCK
Phrase|RAISE YOUR VOICE
Phrase|WE'RE UP AND RUNNING
Thing|SEASHELL NECKLACE
Fun & Games|SACKING THE QUARTERBACK
Before & After|KERRY WASHINGTON MONUMENT
What Are You Doing?|FEELING THE WARMTH OF THE SUN
Food & Drink|SPLIT PEA SOUP
Occupation|HIGH SCHOOL PRINCIPAL
Place|FROG POND
Phrase|IT'S ALMOST FRIDAY
People|BUSINESS PARTNERS
Event|RECEIVING A WEDDING ANNOUNCEMENT
Before & After|PROFESSIONAL BOXER SHORTS
Place|CLASSIC SEASIDE BUNGALOW
Thing|MYSTERY NOVEL
What Are You Doing?|ORDERING A PIZZA
Thing|BALD HEAD
What Are You Doing?|BOOKING A TRIP
Food & Drink|SPEARMINT TEA
Thing|MY ALL-TIME FAVORITE SONG
Song Lyrics|I'M EASY LIKE SUNDAY MORNING
Living Things|DOLPHINS WHALES AND TURTLES
Phrase|KEEP THEM COMING
Character|THE QUEEN OF HEARTS
Occupation|FINANCIAL MANAGER
Thing|MOUND OF PAPERWORK
Phrase|A LOVE OF TRAVEL
Show Biz|CENTER STAGE
Food & Drink|CASHEWS ALMONDS & PEANUTS
Before & After|PARTLY SUNNY DISPOSITION
What Are You Doing?|PRACTICING SPANISH PHRASES
Thing|A KISS ON THE CHEEK
Event|HORSE-DRAWN CARRIAGE RIDE
Landmark|BUCKINGHAM PALACE
Phrase|I FOUND YOU
Event|SHOPPING SPREE
Thing|LOTTERY TICKET
Phrase|WITH A FLICK OF THE WRIST
Same Letter|SUEDE SLEEPER SOFA
Fictional Character|PORKY PIG
Fun & Games|RECITING HYSTERICAL LIMERICKS
Character|DORA THE EXPLORER
Food & Drink|BUTTERSCOTCH CANDY
Phrase|WHAT A MOUTHFUL
Event|TAKING THE GRAND TOUR
Title|TREASURE ISLAND
Things|DINNER PARTY INVITATIONS
Quotation|JACK BE NIMBLE JACK BE QUICK
What Are You Doing?|CROSSING THE ENGLISH CHANNEL
Proper Name|MATTHEW MCCONAHUGHEY
Phrase|STOP THE PRESSES!
Show Biz|BRIEF INTERMISSION
Place|BOYHOOD HOME
What Are You Doing?|SEEING THE WORLD
Living Things|AFRICAN ELEPHANTS
Phrase|NOTHING VENTURED NOTHING GAINED
Before & After|KITCHEN SINK OR SWIM
Phrase|A WORK OF GENIUS
Fun & Games|RIVER RAFTING ADVENTURE
Food & Drink|BACON AND EGGS
Person|PEOPLE PLEASER
Things|DAILY FLIGHTS
Occupation|BAGGAGE HANDLER
Song Lyrics|JUST MY IMAGINATION
Event|BEING VOTED MOST LIKELY TO SUCCEED
Same Name|SPORTS AND CEILING FAN
What Are You Doing?|REVELING IN THE MAGIC OF ITALY
Show Biz|STANDING OVATION
Food & Drink|RED BELL PEPPERS
Rhyme Time|STATION IDENTIFICATION
Thing|TRANQUIL WATER
Food & Drink|DEEP-DISH APPLE PIE
On the Map|DUBLIN IRELAND
Things|BREAKFAST LUNCH AND DINNER
Before & After|STRIKE WHILE THE IRON IS HOT FUDGE
What Are You Doing?|LEAVING MY WORRIES FAR BEHIND
Phrase|HOW SWEET IT IS
In the Kitchen|BAMBOO UTENSIL SET
Landmark|YANKEE STADIUM
Thing|JUICER
Food & Drink|TRIPLE-LAYER LEMON CAKE
Things|PEARLS OF WISDOM
Phrase|YOU CAN'T JUDGE A BOOK BY ITS COVER
Before & After|STRAWBERRY SHAKE RATTLE AND ROLL
Thing|WILD CARD
Living Things|TOUCANS PERCHED IN TREETOPS
Show Biz|MOVIE STUDIO TOUR
Places|WIDE-OPEN SPACES
On the Map|THE SOUTHERN HEMISPHERE
Food & Drink|CHEWY TAFFY
In the Kitchen|MEAT TENDERIZER
What Are You Doing?|STAYING ON SCHEDULE
Food & Drink|THREE-CHEESE STUFFED SHELLS
Quotation|OLD KING COLE WAS A MERRY OLD SOUL
Things|CRUISE SHIPS IN PORTS OF CALL
On the Map|ST. LOUIS MISSOURI
Phrase|UNEXPECTED TURN OF EVENTS
Person|A FRIEND OF A FRIEND
Thing|COMBINED WEIGHT
In the Kitchen|SALAD SPINNER
Things|CAUSE AND EFFECT
Same Name|BANJO AND APRON STRINGS
Food & Drink|CARAMELIZED PEACHES WITH FRESH ROSEMARY
Person|GURU
What Are You Doing?|LIVING LIFE ON ISLAND TIME
On the Map|ATHENS GREECE
Phrase|CONTRARY TO POPULAR BELIEF
Thing|WIPER FLUID
Food & Drink|BEEF STROGANOFF
Proper Name|THOMAS JEFFERSON
Before & Ater|BIRTHDAY SUIT AND TIE
Song Lyrics|STUCK IN THE MIDDLE WITH YOU
What Are You Doing?|STROLLING ALONG ON A SANDY BEACH
Phrase|FROM START TO FINISH
Show Biz|A CAST OF THOUSANDS
Landmark|THE PAINTED DESERT
Phrase|BY THE QUART
Song Title|HOTEL CALIFORNIA
Phrase|TIME IS OF THE ESSENCE
Place|VEGETARIAN RESTAURANT
Before & After|HOLLYWOOD SIGN ON THE DOTTED LINE
Thing|A SUPPLY OF WATERPROOF SUNSCREEN
Character|FRED FLINTSTONE
What Are You Doing?|STARTING FROM SCRATCH
Fun & Games|CATCHING A FRISBEE
Phrase|NICE VARIETY
Place|VENICE BEACH BOARDWALK
People|PANEL OF EXPERTS
Song Lyrics|IT'S A NEW DAWN IT'S A NEW DAY
Show Biz|SCIENCE FICTION EPIC INTERSTELLAR
Rhyme Time|DON'T DELAY BOOK YOUR STAY TODAY
Phrase|THE ROAD TO RICHES
Thing|LETTER OF ACCEPTANCE
What Are You Doing?|REBOOTING THE COMPUTER
Thing|BUBBLY SOAP
On the Map|MONTEREY BAY
Thing|OPTICAL ILLUSION
Phrase|MEANWHILE BACK AT THE RANCH
Before & After|PEELING AN ORANGE COUNTY
Same Letter|REFRESHING RELAXING RESTFUL
Title|JAMES AND THE GIANT PEACH
Around the House|A CLOCK WITH ROMAN NUMERALS
Phrase|FILL IN THE GAPS
On the Map|MULHOLLAND DRIVE
Movie Title|REBEL WITHOUT A CAUSE
Phrase|FROM THE BOTTOM OF MY HEART
Song Lyrics|DO YOU KNOW THE WAY TO SAN JOSE?
Person|BACKPACKER
Fun & Games|A HORSEBACK RIDE THROUGH THE MOUNTAINS
Thing|ELECTRIC GUITAR
Places|VINEYARDS AND WINERIES
Thing|A WARM GLOW
Title|ESCAPE FROM ALCATRAZ
Food & Drink|STEAK SANDWICH
On the Map|LOMBARD STREET IN SAN FRANCISCO
Before & After|ALPHABETICAL ORDER OF CURLY FRIES
Thing|THE BEST CURE FOR WINTER
Occupation|HELICOPTER PILOT
Phrase|ON YOUR MARK GET SET GO!
Thing|BLUE SKY
Thing|HEALTHY BREAKFAST
Occupation|TALENT SCOUT
What Are You Doing?|WARMING UP & COOLING DOWN
Before & After|BE THERE OR BE SQUARE DANCING
Event|CRUISING SYDNEY HARBOUR
Phrase|LIVE AND LEARN
Song Lyrics|THE LAND OF THE FREE
Thing|VINYL BOOTH
Fun & Games|TENNIS MATCH
Character|POPEYE THE SAILOR MAN
Things|STRENGTH AND FLEXIBILITY
Before & After|BASEBALL DIAMONDS ARE A GIRL'S BEST FRIEND
Place|FRANCE'S COSMOPOLITAN CAPITAL CITY
Food & Drink|PEANUT BUTTER BARS
Phrase|ONE FOR THE RECORD BOOKS
Thing|BACKYARD GAZEBO
Thing|ACTIVE LIFESTYLE
What Are You Doing?|STAYING MOTIVATED
Song Title|HAPPY DAYS ARE HERE AGAIN
Before & After|I GOT YOU BABE THE BLUE OX
Phrase|SUNNY WITH NO CHANCE OF SHOWERS
Rhyme Time|TOGETHER FOREVER
Place|RACQUETBALL COURT
Thing|WATER VAPOR
Things|STOMACH CRUNCHES
Around The House|CHARCOAL GRILL
Fun & Games|GOING ON A BRISK MORNING WALK
Before & After|GROUND RULE DOUBLE-PARKED
Landmarks|WORLD-FAMOUS BRITISH MUSEUMS
What Are You Doing?|STICKING TO THE PLAN
Place|EIGHTEEN-HOLE GOLF COURSE
Living Thing|TINY GUPPY
Fun & Games|DOING HANDSTANDS
On The Map|FAIRBANKS ALASKA
What Are You Doing?|TAKING THE STAIRS INSTEAD OF THE ELEVATOR
Same Name|COMPUTER & EXERCISE PROGRAM
Phrase|I WAS HOPING YOU WOULD SAY THAT
Person|THE COMEBACK KID
Thing|A GOOD NIGHT'S SLEEP
Rhyme Time|TWICE AS NICE
Living Things|HERD OF BUFFALO
Thing|LUXURY VEHICLE
Movie Title|THE WEDDING SINGER
Around The House|DINNER PLATES
What Are You Doing?|PUTTING ALL MY EGGS IN ONE BASKET
Before & After|HIS BARK IS WORSE THAN HIS BITE-SIZE CANDY
Fun & Games|TAKING THE TROLLEY AROUND TOWN
Proper Name|ASHTON KUTCHER
Thing|BURNING QUESTION
Thing|BACKUP PLAN
Song Title|LET'S STAY TOGETHER
Character|PRINCE CHARMING
Food & Drink|HOMEMADE ITALIAN LASAGNA
Same Letter|DANCING DASHBOARD DOLL
Proper Names|RED SOX PATRIOTS AND CELTICS
What Are You Doing?|VISITING RELATIVES
Phrase|A LITTLE BIRD TOLD ME
Food & Drink|FLUFFY PANCAKES
Living Things|ONE DOZEN WHITE ROSES
Proper Name|ANGELINA JOLIE
What Are You Doing?|ENJOYING THE FEAST AT A LUAU
Before & After|ALL IN A DAY'S WORK BOOTS
Place|BEAUTIFUL PACIFIC NORTHWEST
Event|CONCERT IN THE PARK
People|STARTING LINEUP
Person|PUBLIC OFFICIAL
People|THE PERFECT COUPLE
What Are You Doing?|BREAKING THE ICE
Song Lyrics|PRETTY WOMAN WALKING DOWN THE STREET
Before & After|YOU'RE THE APPLE OF MY EYE DOCTOR
Event|A ONCE-IN-A-LIFETIME ADVENTURE
Phrase|RIGHT ON TARGET
Fun & Games|FANTASY FOOTBALL TEAM
Fun & Games|LIVE ENTERTAINMENT
Thing|BARGAINING CHIP
Phrase|THE BEST OF BOTH WORLDS
Title|THE NOTEBOOK
Event|SEEING A DOUBLE RAINBOW
Same Name|COSMIC AND MANTA RAYS
Things|MILES AND MILES OF HIKING TRAILS
Person|ROOKIE OF THE YEAR
In The Kitchen|WOODEN CUTTING BOARD
Thing|CLEVER PUZZLE
Place|SECRET ISLAND COVE
Event|MAKING A HOLE IN ONE
Before & After|MICROWAVE DINNER THEATER
Thing|STRIKING UNDERWATER PHOTOGRAPHY
Phrase|THIS SHOULD BRIGHTEN UP YOUR DAY
Living Things|MARINE MAMMALS
What Are You Doing?|TRAINING FOR A TRIATHLON
What Are You Doing?|PAYING A FEW BILLS
Fun & Games|WHALE WATCHING
Show Biz|IN THE SPOTLIGHT
Song Lyrics|I'LL STOP THE WORLD AND MELT WITH YOU
Same Name|WELCOME AND YOGA MAT
Living Things|PLUM TREES AND CHERRY BLOSSOMS
Rhyme Time|BACK ON TRACK
Event|CHAMPIONSHIP MATCH
What Are You Doing?|PICKING UP THE KIDS
Things|NATURAL WONDERS
Song Lyrics|GET INTO THE GROOVE
Phrase|A PICTURE IS WORTH A THOUSAND WORDS
Before & After|I THINK I CAN I THINK I CAN OPENER
Place|LEGENDARY DESERT DESTINATION
Fun & Games|HORSEBACK RIDING
Title|THE LORD OF THE RINGS
Occupation|FACTORY WORKER
Places|AWESOME LAVA FIELDS
Phrase|I BEAT YOU TO THE DRAW
The 90's|KEANU REEVES STARS IN POINT BREAK
Before & After|DON'T BE AFRAID OF THE DARK CHOCOLATE
Event|VISITING THE STATUE OF LIBERTY
In The Kitchen|ELECTRIC TEAKETTLE
People|CONSTRUCTION CREW
People|GYM BUDDIES
Fun & Games|HIKING UP A VOLCANO
Proper Name|LEBRON JAMES
Phrase|THAT'S MY BREAD AND BUTTER
Same Letter|SOLID STAINLESS STEEL SPATULA
Things|SHOWS SHOPPING AND RESTAURANTS
Living Thing|PET PARAKEET
Food & Drink|BANANA NUT MUFFINS
Event|HEROIC ACT
What Are You Doing?|TRAVELING THE GLOBE
Living Thing|ENGLISH BULLDOG
Food & Drink|TANGY LEMON SQUARES
Before & After|ATOMIC ENERGY DRINK
Phrase|DON'T FORGET TO BRING YOUR APPETITE
Thing|SPLIT DECISION
Song Lyrics|I BELIEVE IN MIRACLES
Thing|UPHOLSTERY FABRIC
Song Lyrics|ONE NIGHT IN BANGKOK
What Are You Doing?|SADDLING THE HORSES
Before & After|MOISTURIZING CREAM AND SUGAR
Title|THE LITTLE ENGINE THAT COULD
Phrase|CAN I JUMP UP AND DOWN NOW?
Thing|GOOD CLEAN FUN
Food & Drink|TRIPLE-DECKER CLUB SANDWICH
Things|PHOTOS AND VIDEOS
On The Map|TOKYO JAPAN
Place|CULINARY SCHOOL
Before & After|ECONOMY CLASS CLOWN
Song Title|DON'T CRY FOR ME ARGENTINA
Phrase|THIS WILL BE AN ABSOLUTE BLAST
Fun & Games|MOUNTAIN BIKE
Thing|PROOF OF PURCHASE
Food & Drink|TURKEY DRUMSTICK
What Are You Doing?|HOVERING
On The Map|FINLAND & SWEDEN
Thing|PERFECT TIMING
Song Lyrics|DON'T STAND SO CLOSE TO ME
What Are You Doing?|MAKING A WISE INVESTMENT
Places|CABANAS HIDDEN AMONG COCONUT PALMS
Food & Drink|WONTON SOUP
Phrase|WHEN THE SMOKE CLEARS
Event|BUYING A HOUSE
Song Title|LONDON CALLING
Place|CHEMISTRY LAB
Around The House|BASEBALL CARD COLLECTION
Before & After|SPRING BREAK IT TO ME GENTLY
Phrase|I MAY ONLY PACK A BATHING SUIT
On The Map|MADAGASCAR
Thing|MY PERSONAL FAVORITE
Thing|AUXILIARY POWER
Food & Drink|PEANUT BRITTLE
What Are You Doing?|WRAPPING PRESENTS
Phrase|AND THE CROWD GOES WILD
Song Lyrics|A WHOLE NEW WORLD THAT'S WHERE WE'LL BE
Fun & Games|SNORKELING AT RAINBOW REEF
Living Things|A GAGGLE OF GEESE
Things|EXCITING INNOVATIONS
Phrase|HIGH IMPACT
Place|THE ENCHANTED TIKI ROOM
Show Biz|SPECIAL GUEST STAR
Rhyme Time|ONE TWO BUCKLE MY SHOE
Characters|DOPEY GRUMPY DOC BASHFUL HAPPY SNEEZY AND SLEEPY
Things|WONDROUS ICE-BLUE GLACIERS
Song Lyrics|LET IT GO LET IT GO
What Are You Doing?|SOLVING A MYSTERY
Things|FANCY COWBOY BOOTS
Fun & Games|MOUNTAIN CLIMBING
Things|ALL OF OUR FAVORITES
Show Biz|SONG-AND-DANCE SPECTACULAR
Song Lyrics|WE GOT NO TROUBLES LIFE IS THE BUBBLES
Phrase|THE BEST IN COMFORT AND SERVICE
Event|BIRTHDAY PARTY
Person|NEXT-DOOR NEIGHBOR
Phrase|GIFT IDEAS FOR HIM
Phrase|DREAMS ARE FOREVER
Living Things|NIGHTINGALES
Character|CINDERELLA'S FAIRY GODMOTHER
Food & Drink|LEMON-RASPBERRY CREAM PUFF
Event|SIGHTING A HUMPBACK WHALE
Show Biz|ENCORE PERFORMANCE
Movie Title|THE PRINCESS AND THE FROG
Person|AVID GOLFER
Title|THE LION KING
Phrase|A WAY WITH WORDS
Show Biz|MUSICAL EXTRAVAGANZA
Song Lyrics|CAN YOU PAINT WITH ALL THE COLORS OF THE WIND?
What Are You Doing?|TAKING MY FIRST UKULELE LESSON
Fun & Games|BALLROOM DANCING
Place|FIELD OF FLOWERS
Phrase|BOGGED DOWN
Phrase|COMPLETELY RELAXED
On The Map|GENEVA SWITZERLAND
Show Biz|RECORDING A LIVE ALBUM
Before & After|BLOWING OFF A LITTLE STEAM ROOM
Thing|UNBEATABLE WEATHER
Living Thing|MOCKINGBIRD
Food & Drink|MARSHMALLOW TOPPING
Thing|POSITIVE VIEW
Phrase|TAKE THE PLUNGE
Fun & Games|PRACTICAL JOKE
Characters|ROBIN HOOD & MAID MARIAN
Before & After|BRIDAL PARTY ANIMAL
Person|SIDEKICK
What Are You Doing?|UNWINDING AT THE POOL
In The Kitchen|BREADBASKET
Things|ADVERTISING AND MARKETING
Food & Drink|CREAM-FILLED WAFFLES
Things|BIG PAWS
What Are You Doing?|SOAKING IN A HOT TUB
People|LOYAL CUSTOMERS
Food & Drink|CONTINENTAL BREAKFAST
Same Letter|PRETTY PURPLE PETUNIAS
Place|A HEAVENLY LOCATION
Things|PEACE AND QUIET
Phrase|NO TIME LIKE THE PRESENT
Character|KERMIT THE FROG
Show Biz|ONE-HIT WONDER
Living Things|WILD FAUNA
Things|FITNESS & WELLNESS
Event|ROYAL WEDDING
Song/Artist|MATERIAL GIRL BY MADONNA
Before & After|MASSAGE TABLE MANNERS
Thing|ZIPPER
What Are You Doing?|SETTING UP OUR BEACH CHAIRS
Food & Drink|SPINACH SALAD
Fun & Games|AEROBIC EXERCISE
Phrase|TAKE ME TO YOUR LEADER
Phrase|WORTH WAITING FOR
Things|MANICURE & PEDICURE
Landmark|NIAGARA FALLS
Quotation|ROSES ARE RED VIOLETS ARE BLUE
Before & After|I'M A HOPELESS ROMANTIC COMEDY
Food & Drink|THICK CREAMY MANGO SMOOTHIE
TV Title|THE BLACKLIST
Phrase|WHAT TOOK YOU SO LONG?
What Are You Doing?|CONNECTING THE DOTS
Thing|AUTHORIZED BIOGRAPHY
On The Map|MISSISSIPPI RIVER
Place|COWBOY COUNTRY
Phrase|WHAT A CAST OF CHARACTERS
Rhyme Time|TWO FOUR SIX EIGHT WHO DO WE APPRECIATE?
Fun & Games|REMARKABLE ISLAND EXCURSIONS
What Are You Doing?|DOUBLING DOWN
Person|A CREATURE OF HABIT
Food & Drink|CHEESE AND CRACKERS
Thing|AUDIO FREQUENCY
Characters|LEPRECHAUNS
What Are You Doing?|CHOPPING FIREWOOD
Proper Name|ASTRONAUT NEIL ARMSTRONG
Before & After|SOMETHING OLD SOMETHING NEW JERSEY
Place|SPRAWLING BEACHFRONT OASIS
Phrase|THE PLOT THICKENS
Food & Drink|CORNED BEEF AND CABBAGE
Phrase|THE EXACT AMOUNT
Person|LIVING LEGEND
Occupation|HISTORY PROFESSOR
Place|ELECTRONICS WAREHOUSE
Before & After|VARIETY IS THE SPICE OF LIFE JACKETS
Thing|SPECTACULAR VIEW OF THE VOLCANO
Proper Name|DANIEL BOONE
Phrase|ANY MORE QUESTIONS?
Things|BREAKING WAVES
On The Map|RHODE ISLAND
Things|SHOCK ABSORBERS
Song Lyrics|THIS LAND IS YOUR LAND THIS LAND IS MY LAND
Before & After|BOSTON CREAM PIE CHART
Place|DUCK POND
People|VERY EXPERIENCED TRAVELERS
Phrase|STANDING ROOM ONLY
Place|MUSEUM OF SCIENCE
Proper Name|HUGH JACKMAN
Rhyme Time|WINE AND DINE
Thing|GROUP PORTRAIT
Person|ELDER STATESMAN
Place|BARGAIN BASEMENT
Fun & Games|PUTTING TOGETHER A JIGSAW PUZZLE
Before & After|RED WHITE & BLUE SUEDE SHOES
Phrase|CONNECTING NORTH AND SOUTH AMERICA
Character|OLD MOTHER HUBBARD
Things|CRAYONS AND COLORING BOOKS
Thing|VALID LOGIC
Phrase|RECIPE FOR SUCCESS
Thing|WEB BROWSER
Show Biz|TELEVISION PERSONALITY
Before & After|LOCH NESS MONSTER TRUCK RALLY
Phrase|EXACTLY WHAT I WAS HOPING FOR
Occupation|GRAPHIC DESIGNER
What Are You Doing?|THINKING OUT LOUD
Thing|MAHOGANY WOOD
What Are You Doing?|EATING FRUIT SALAD
Person|THE MAN OF THE HOUR
Around The House|CUSTOM-MADE FURNITURE
Before & After|ROLL OUT THE BARREL OF LAUGHS
Thing|ANCHOVY
Phrase|YOU HAVE NO IDEA HOW HAPPY I AM
Show Biz|CINEMATOGRAPHY
Things|KNEE-HIGH LEATHER BOOTS
Place|BUMPY PATH
Phrase|HERE COMES SUMMER
Proper Name|MELISSA MCCARTHY
Food & Drink|STEAMED LOBSTER TAILS
Before & After|SMILE AND SAY CHEESE RAVIOLI
Places|CATHEDRALS AND MUSEUMS
Rhyme Time|A CAMEL IS A MAMMAL
Thing|COMPUTER TECHNOLOGY
Person|MASTER OF CEREMONIES
Phrase|ACHIEVE YOUR GOAL
Phrase|SPRING IS IN THE AIR
Proper Name|NEIL PATRICK HARRIS
Movie Quote|I'M READY FOR MY CLOSE-UP
Same Letter|GREEK GODS & GODDESSES
Event|PHOTO FINISH
Thing|A QUIET SECLUDED LANDSCAPE
Occupation|ATHLETIC TRAINER
Song Lyrics|NO PARTICULAR PLACE TO GO
What Are You Doing?|SETTING A GOOD EXAMPLE
Thing|POCKET DIARY
What Are You Doing?|MAKING THE MOST OF IT
Character|CAPTAIN AHAB
Person|AMATEUR PHOTOGRAPHER
Same Name|GROCERY AND PUNCHING BAG
Things|ACRES OF LUSH GREENERY
Around The House|PORCH LIGHT
Phrase|SYNCHRONIZE YOUR WATCHES
Living Things|HAMSTERS AND MUSKRATS
Phrase|BUSY WITH WORK
Landmark|OLD FAITHFUL
Event|HEART-TO-HEART TALK
Things|MARCH APRIL AND MAY
Before & After|ME TARZAN YOU JANE FONDA
Place|A SIMPLY FLAWLESS BEACH
Phrase|THE WHOLE NINE YARDS
Rhyme Time|BABOONS AND RACCOONS
What Are You Doing?|MOWING THE LAWN
Phrase|JUMP IN THE BACK
Song Title|MOONLIGHT DRIVE
Rhyme Time|I'M IN IT TO WIN IT
What Are You Doing?|READING BETWEEN THE LINES
Before & After|VICTORIA'S SECRET PASSAGE
Phrase|OH MY GOSH
Places|POPULAR SURFING SPOTS
In The Kitchen|VEGETABLE STEAMER
Phrase|WE'RE CALLING IT A DAY
Event|POTLUCK DINNER
Person|WACKY NEIGHBOR
Living Things|YELLOW DAFFODILS
Occupation|REAL ESTATE AGENT
Characters|COMIC BOOK SUPERHEROES
Before & After|UNDER THE WEATHER FORECASTER
Things|VERY IMPORTANT TRAVEL TIPS
Show Biz|GOLDEN GLOBE AWARD
Place|PERFORMING ARTS CENTER
Thing|FLOWING GOWN
Living Things|FLOWERS IN FULL BLOOM
Occupation|LABORATORY TECHNICIAN
Food & Drink|CRISPY CRUNCHY FISH STICKS
Same Letter|BIG BUDGET BLOCKBUSTER
What Are You Doing?|SHOPPING AT THE OPEN-AIR MARKET
Thing|ICE BUCKET
Phrase|I COULDN'T AGREE MORE
Phrase|WITHOUT A DOUBT
Fun & Games|BASEBALL SEASON
Things|WALLETS AND PURSES
Song Lyrics|DON'T YOU WANT SOMEBODY TO LOVE?
Same Name|BUTTER AND SATELLITE DISH
Food & Drink|SLICE OF FRESH PINEAPPLE
Phrase|CERTIFIED ORGANIC
What Are You Doing?|CHANGING MY MIND
Things|ZODIAC SYMBOLS
Thing|RADIANT SUNSHINE
Person|ESCAPE ARTIST
Same Letter|SPLENDID SOUVENIR SHOP
Movie Quote|LIONS AND TIGERS AND BEARS OH MY
Phrase|PLENTY TO SMILE ABOUT
Proper Name|JAMES SPADER
What Are You Doing?|WINNING HANDS DOWN
Thing|BUG ZAPPER
Places|GORGEOUS ISLANDS
Food & Drink|MICROWAVE POPCORN
Show Biz|ACADEMY AWARD NOMINATION
Before & After|THINK OUTSIDE THE BOX OF CHOCOLATES
Phrase|LET YOUR IMAGINATION RUN WILD
Things|HOOP EARRINGS
Song Lyrics|HERE COMES THE BRIDE
What Are You Doing?|GOING TO THE MOVIES
Phrase|A VERY FIRM HOLD
Event|DESTINATION WEDDING
Food & Drink|ITALIAN FLATBREAD
Song/Artist|WE GOT THE BEAT BY THE GO-GO'S
Phrase|THE HEART WANTS WHAT THE HEART WANTS
Living Things|VIBRANT CORAL REEFS
TV Quote|THE TRIBE HAS SPOKEN
Thing|CHEMICAL FORMULA
What Are You Doing?|KICKING UP YOUR HEELS
Thing|TOUGH QUIZ
Thing|GOURMET DINING
What Are You Doing?|RIDING IN A LIMOUSINE
Characters|THE HARDY BOYS AND NANCY DREW
Before & After|PUT UP YOUR DUKES OF HAZZARD
Thing|DOLPHIN
Places|EXTRAVAGANT SUITES
In The Kitchen|LEMON SQUEEZER
Living Things|CATERPILLARS & BUTTERFLIES
Song Title|SHAKE RATTLE AND ROLL
Phrase|WAY BEHIND
Thing|WARM WEATHER
Occupation|TRAVEL WRITER
Phrase|THERE'S MORE WHERE THAT CAME FROM
Song Lyrics|GROUND CONTROL TO MAJOR TOM
What Are You Doing?|RECEIVING SPECIAL TREATMENT
Around The House|SOFT FLUFFY TOWELS
People|EARLY BIRDS & LATE BLOOMERS
Thing|ULTIMATE GUIDEBOOK
Place|THE EMPIRE STATE
People|PERFECT STRANGERS
What Are You Doing?|SHOPPING ON FIFTH AVENUE
Before & After|MADISON SQUARE GARDEN OF EDEN
Phrase|THERE IS NO PLACE LIKE IT
Proper Name|EMMA STONE
Food & Drink|A NICE ANGEL HAIR PASTA
Person|AVIATOR
On The Map|THE BRONX AND BROOKLYN
What Are You Doing?|CATCHING A CAB
Phrase|HEAD AND SHOULDERS ABOVE THE REST
Before & After|NOT SO FAST-FORWARD
Place|A BLISSFUL RETREAT
Proper Name|JERRY SEINFELD
Fun & Games|FOLLOW THE LEADER
Around The House|KNITTING NEEDLES
Thing|RICH FLAVOR
On The Map|GREENWICH VILLAGE
Phrase|PAYING DIVIDENDS
What Are You Doing?|EATING AT AN ALL-NIGHT DINER
Same Letter|CROWDED COMEDY CLUB
Things|ROMANCE AND RELAXATION
Proper Name|PATRICIA ARQUETTE
Food & Drink|SOURDOUGH PRETZELS
Thing|POKER FACE
Proper Name|DEREK JETER
Phrase|I'VE GOT YOUR BACK
Fun & Games|THE SUNDAY CROSSWORD PUZZLE
Before & After|WHAT GOES UP MUST COME DOWN COMFORTER
Things|EXTRAORDINARY POOLS
What Are You Doing?|DOUBLE-DIPPING
Food & Drink|ROASTED CHESTNUTS
Phrase|FIGURE OUT HOW
What Are You Doing?|RIDING THE SUBWAY
TV Quote|DON'T HAVE A COW MAN
Proper Name|QUARTERBACK ELI MANNING
Before & After|FORBIDDEN FRUIT ROLL-UP
Phrase|UNDER THE JAMAICAN SUN
Person|ASPIRING WRITER
Rhyme Time|YOU SNOOZE YOU LOSE
Place|SPORTS ARENA
Phrase|A WHIFF OF PERFUME
On The Map|PENNSYLVANIA AVENUE
Thing|CALCULATED RISK
Before & After|SPARE CHANGE OF HEART
Song Lyrics|ALWAYS SOMETHING THERE TO REMIND ME
Places|MILES OF UNSPOILED COASTLINE
In The Kitchen|SILVERWARE DRAWER
Phrase|A MARRIAGE MADE IN HEAVEN
Person|PRESIDENTIAL HISTORIAN
Thing|AUTOPILOT
Place|NATIONAL FOREST
Person|A GOOD SPORT
Movie Title|MR. SMITH GOES TO WASHINGTON
Before & After|LITTLE LEAGUE GAME OF THRONES
Things|AMPLE SUN AND MILD TEMPERATURES
On The Map|HARTFORD CONNECTICUT
Phrase|MORNING NOON & NIGHT
Event|PAUL REVERE'S RIDE
Thing|THOROUGH OVERHAUL
What Are You Doing?|GOING TO THE RODEO
Occupation|HOUSE PAINTER
Before & After|BREAKING NEW GROUND BEEF
